kernel,SoL % Mean,SoL % Min,SoL % Max,lib,n
arange,0.000328933518588691,0.00031508368622706185,0.00038212276840303254,snda,1
tanh,0.00048214147959577255,0.0004726255293405929,0.0004922592237072042,snda,1
arange,0.0003480364825762496,0.00039016472754797074,0.0002944224609006972,torch,1
tanh,0.0005102433912000364,0.000536112540744553,0.00048539919229574407,torch,1
arange,0.002636296530633766,0.0025206694898164948,0.0030569821472242603,snda,8
tanh,0.003872889819673408,0.0038314176245210726,0.003936387970398363,snda,8
arange,0.0028393139933460677,0.00312343828085957,0.0026607066836951895,torch,8
tanh,0.004052980561905225,0.0042258282623394185,0.003936387970398363,torch,8
arange,0.019990004997501247,0.019157088122605366,0.02498750624687656,snda,64
tanh,0.029473624099845587,0.02769699487605595,0.030248033877797946,snda,64
arange,0.022318937618569352,0.02554278416347382,0.01884303749764462,torch,64
tanh,0.03288623469569699,0.03331667499583542,0.03237817710862879,torch,64
arange,0.1604782251108303,0.15325670498084293,0.19564685742235266,snda,512
tanh,0.2410328256579443,0.23577954612437368,0.24531294169505494,snda,512
arange,0.17994916436106798,0.20434227330779056,0.14367816091954022,torch,512
tanh,0.24520051128137862,0.2519288301054952,0.24198427102238357,torch,512
arange,1.3090268523081505,1.2059543998492557,1.5651748593788213,snda,4096
tanh,1.8886577250527492,1.794224838800112,1.9358741681790685,snda,4096
arange,1.4312780376395373,1.6347381864623245,1.2683313515655965,torch,4096
tanh,2.1667108366751777,2.195916966889689,2.1018062397372743,torch,4096
arange,10.077153204219808,9.808429118773947,12.260536398467432,snda,32768
tanh,14.16379656140642,13.375130616509926,14.71264367816092,snda,32768
arange,9.553180088289949,10.509031198686369,8.916753744339951,torch,32768
tanh,14.71264367816092,15.693486590038313,14.012041598248496,torch,32768
arange,53.14009074260796,45.28327961057043,54.74472066292435,snda,262144
tanh,50.489274707809386,49.82059234932798,52.02260748078999,snda,262144
arange,33.846484378227856,35.13467147023503,33.15525335923588,torch,262144
tanh,54.87133147501241,57.415194841603586,51.45405439356825,torch,262144
arange,74.92321373782791,72.43147656940761,91.86431174656575,snda,2097152
tanh,72.00201742102797,71.67339260911886,72.63882899592844,snda,2097152
arange,49.87233654771371,50.28620536193852,49.55837870538416,torch,2097152
tanh,76.7322158171138,78.22298611857104,75.40178110763192,torch,2097152
arange,78.24850524752149,77.49807631529085,84.02462820945458,snda,16777216
tanh,75.78069644205787,75.63066743734393,75.8970742703726,snda,16777216
arange,53.03288298605129,53.094559316084286,52.98252701262483,torch,16777216
tanh,79.83772720939548,80.18927043424725,79.56461920707957,torch,16777216
arange,78.15896011748504,77.53274005630398,83.25827307334727,snda,134217728
tanh,76.23896107601101,75.99884655557284,76.34787538673594,snda,134217728
arange,53.455193930370704,53.461959041216375,53.45362330618701,torch,134217728
tanh,79.60939253111337,79.90629741521374,79.09347700185933,torch,134217728
arange,78.11469152851572,77.57389966301929,83.11469099447977,snda,1073741824
tanh,76.6847898783542,76.27536675089897,80.07549089276628,snda,1073741824
arange,53.50863017444666,53.50941570011032,53.508079438665234,torch,1073741824
tanh,79.46018154080558,79.55830039301944,79.24330355978678,torch,1073741824
